City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
517,Abu Dhabi,AE,96.8,24.47,54.37,Beach Rotana
518,Cruzeiro Do Sul,BR,75.0,-29.51,-51.99,Canil Kolling
520,Kumluca,TR,76.48,36.37,30.29,TurkuazKöy
521,Xihe,CN,76.95,31.69,113.47,Xintiandi Business Hotel
522,Barra,BR,78.3,-11.09,-43.14,Pousada Bahia
524,Matamoros,MX,76.26,25.53,-103.25,Recreativo Sabdy Briseidy
527,Hambantota,LK,91.4,6.12,81.12,Bungalow 63
528,Turochak,RU,75.36,52.26,87.12,Guest House on Beregovaya st.
531,Bandar-E Lengeh,IR,95.0,26.56,54.88,Golestan Motel
536,Acarau,BR,79.9,-2.89,-40.12,castelo pizzaria
539,Ankazoabo,MG,85.14,-22.28,44.52,
541,Peranamallur,IN,91.67,12.57,79.43,Thirumanicherai udayar charity Trust
543,Celestun,MX,79.43,20.87,-90.4,Posada Lilia
548,Harper,LR,79.81,4.38,-7.72,Cape View Guest House
549,Finschhafen,PG,79.81,-6.6,147.87,Cossam Guest House
552,Kampot,KH,86.0,10.62,104.18,Champa Lodge
