City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rainfall in past hour (inches),Snowfall in past hour (inches)
348,Qujing,CN,25.48,103.78,69.33,82,99,9.86,moderate rain,2.8,0.0
349,Kjollefjord,NO,70.95,27.35,48.2,75,11,10.29,few clouds,0.0,0.0
350,Shingu,JP,33.73,135.98,70.68,85,37,2.26,scattered clouds,0.0,0.0
351,Dubbo,AU,-32.25,148.62,48.2,93,90,9.17,overcast clouds,0.0,0.0
352,Dingle,PH,11.0,122.67,80.26,83,55,3.87,light rain,0.68,0.0
353,Umea,SE,63.83,20.26,75.2,50,55,13.87,broken clouds,0.0,0.0
354,Puerto Colombia,CO,10.99,-74.95,80.6,88,94,4.7,fog,0.0,0.0
355,Bathsheba,BB,13.22,-59.52,84.2,70,20,18.34,few clouds,0.0,0.0
356,Estevan,CA,49.13,-102.98,51.8,93,1,2.24,clear sky,0.0,0.0
357,Olinda,BR,-8.01,-34.86,84.2,66,40,12.75,scattered clouds,0.0,0.0
358,Belmonte,BR,-15.86,-38.88,75.2,73,40,5.82,scattered clouds,0.0,0.0
359,Kyra,RU,49.58,111.98,59.4,88,100,8.32,light rain,0.39,0.0
360,Egvekinot,RU,66.32,-179.17,39.88,71,42,4.97,scattered clouds,0.0,0.0
361,Homer,US,59.64,-151.55,51.01,81,1,3.36,clear sky,0.0,0.0
362,Shitanjing,CN,39.23,106.34,81.0,18,26,1.99,scattered clouds,0.0,0.0
363,Lompoc,US,34.64,-120.46,55.4,100,20,6.93,mist,0.0,0.0
364,Kayes,ML,14.0,-11.0,94.14,43,59,8.75,broken clouds,0.0,0.0
365,Palana,RU,59.12,159.97,42.37,92,0,8.03,clear sky,0.0,0.0
366,Hervey Bay,AU,-25.3,152.85,57.0,54,0,4.0,clear sky,0.0,0.0
367,Alofi,NU,-19.06,-169.92,71.6,100,14,4.7,few clouds,0.0,0.0
368,Cayenne,GF,4.93,-52.33,75.2,100,75,3.36,broken clouds,0.0,0.0
369,Saskylakh,RU,71.92,114.08,86.22,27,56,5.55,broken clouds,0.0,0.0
370,Manitouwadge,CA,49.12,-85.84,51.71,84,100,8.21,overcast clouds,0.0,0.0
371,Meulaboh,ID,4.14,96.13,79.61,73,100,1.05,overcast clouds,0.0,0.0
372,Tessalit,ML,20.2,1.01,104.88,6,0,6.91,clear sky,0.0,0.0
373,Pangody,RU,65.85,74.49,57.36,41,81,0.81,broken clouds,0.0,0.0
374,Olivehurst,US,39.1,-121.55,69.8,64,1,8.05,clear sky,0.0,0.0
