City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Yaroslavl,RU,2020-06-22 23:38:57,57.63,39.87,48.2,100,0,1.16
70,Tiksi,RU,2020-06-22 23:36:15,71.69,128.87,47.82,66,9,3.24
71,Fairbanks,US,2020-06-22 23:38:57,64.84,-147.72,51.8,100,90,10.29
72,Bluff,NZ,2020-06-22 23:36:23,-46.6,168.33,39.0,83,49,3.0
73,Batemans Bay,AU,2020-06-22 23:38:57,-35.72,150.18,57.0,60,52,4.12
74,Hoquiam,US,2020-06-22 23:38:58,46.98,-123.89,73.0,60,1,12.75
75,Dunedin,NZ,2020-06-22 23:38:22,-45.87,170.5,44.01,75,16,8.99
76,Port Alfred,ZA,2020-06-22 23:36:21,-33.59,26.89,59.0,56,0,5.01
77,Lebu,CL,2020-06-22 23:37:14,-37.62,-73.65,49.23,77,48,7.49
78,Kapaa,US,2020-06-22 23:36:08,22.08,-159.32,82.4,65,40,11.41
79,Wuning,CN,2020-06-22 23:38:59,29.26,120.23,82.18,83,100,3.22
80,Charleston,US,2020-06-22 23:37:18,32.78,-79.93,86.0,78,1,12.75
81,Baghdad,IQ,2020-06-22 23:35:43,33.34,44.4,80.6,30,0,6.93
82,Sitka,US,2020-06-22 23:36:34,57.05,-135.33,57.2,62,90,6.93
83,Moose Factory,CA,2020-06-22 23:39:00,51.26,-80.61,59.0,87,90,5.82
84,Ardakan,IR,2020-06-22 23:36:11,32.31,54.02,77.45,18,0,9.1
85,Hobart,AU,2020-06-22 23:31:22,-42.88,147.33,55.0,93,75,19.46
86,Saint-Pierre,RE,2020-06-22 23:36:51,-21.34,55.48,68.0,72,19,4.7
87,Bontang,ID,2020-06-22 23:34:02,0.13,117.5,79.02,84,14,5.28
88,Leningradskiy,RU,2020-06-22 23:37:33,69.38,178.42,34.72,86,100,16.67
89,Mar Del Plata,AR,2020-06-22 23:36:10,-38.0,-57.56,53.01,93,83,2.24
90,Valle De Allende,MX,2020-06-22 23:39:01,26.93,-105.4,92.75,11,38,11.59
91,Portland,US,2020-06-22 23:38:01,45.52,-122.68,87.01,30,1,10.29
92,Coihueco,CL,2020-06-22 23:39:02,-36.62,-71.83,48.2,100,20,4.7
93,Oistins,BB,2020-06-22 23:39:02,13.07,-59.53,82.4,74,40,19.46
94,Esmeraldas,BR,2020-06-22 23:39:02,-19.76,-44.31,66.2,52,55,6.93
95,Huilong,CN,2020-06-22 23:39:02,31.81,121.66,75.99,95,100,15.82
96,East London,ZA,2020-06-22 23:37:03,-33.02,27.91,63.43,39,0,5.73
97,Tasiilaq,GL,2020-06-22 23:36:15,65.61,-37.64,51.8,72,4,6.93
98,Watsa,CD,2020-06-22 23:39:03,3.04,29.54,61.72,96,47,2.64
99,Nigran,ES,2020-06-22 23:39:03,42.14,-8.81,75.2,69,0,5.82
100,Saint-Philippe,RE,2020-06-22 23:36:18,-21.36,55.77,68.0,72,37,4.7
101,Punta Alta,AR,2020-06-22 23:36:32,-38.88,-62.07,51.91,62,100,9.35
102,Chuy,UY,2020-06-22 23:36:14,-33.7,-53.46,59.41,94,93,9.86
103,Peace River,CA,2020-06-22 23:39:04,56.25,-117.29,69.8,40,90,18.34
104,San Angelo,US,2020-06-22 23:35:38,31.46,-100.44,100.0,36,49,7.0
105,Maldonado,UY,2020-06-22 23:38:42,-34.67,-54.92,57.0,100,97,5.82
106,Codajas,BR,2020-06-22 23:39:05,-3.84,-62.06,81.32,69,85,1.59
107,College,US,2020-06-22 23:38:12,64.86,-147.8,51.8,93,90,4.7
108,Nchelenge,ZM,2020-06-22 23:39:05,-9.35,28.73,61.77,58,0,7.07
109,Ayolas,PY,2020-06-22 23:39:05,-27.4,-56.9,73.06,69,1,9.69
110,Beringovskiy,RU,2020-06-22 23:37:27,63.05,179.32,52.12,57,81,13.62
111,Katsuura,JP,2020-06-22 23:36:27,35.13,140.3,77.0,88,75,3.36
112,San Quintin,MX,2020-06-22 23:38:19,30.48,-115.95,68.77,71,18,16.71
113,Coahuayana,MX,2020-06-22 23:39:06,18.73,-103.68,80.6,74,75,11.41
114,Zheleznodorozhnyy,RU,2020-06-22 23:39:06,55.75,38.0,63.0,87,32,4.47
115,Khatanga,RU,2020-06-22 23:36:30,71.97,102.5,82.65,27,84,12.97
116,Iqaluit,CA,2020-06-22 23:37:06,63.75,-68.51,53.6,54,20,13.87
117,Kahului,US,2020-06-22 23:35:15,20.89,-156.47,91.4,36,40,23.04
118,Canavieiras,BR,2020-06-22 23:36:30,-15.68,-38.95,71.33,92,96,5.23
119,Vao,NC,2020-06-22 23:39:07,-22.67,167.48,71.87,73,23,11.72
120,Mecca,SA,2020-06-22 23:33:10,21.43,39.83,85.86,25,0,3.27
121,Hasaki,JP,2020-06-22 23:37:06,35.73,140.83,68.0,100,75,6.93
122,Vaini,TO,2020-06-22 23:36:16,-21.2,-175.2,78.8,83,40,10.29
123,San Lorenzo,PY,2020-06-22 23:39:08,-25.33,-57.53,82.4,54,75,10.29
124,Mlandizi,TZ,2020-06-22 23:39:09,-6.7,38.73,75.2,83,40,5.82
125,Ponta Do Sol,PT,2020-06-22 23:36:29,32.67,-17.1,71.6,60,40,9.17
126,Harper,LR,2020-06-22 23:39:09,4.38,-7.72,77.58,84,100,11.9
127,Gallup,US,2020-06-22 23:39:09,35.53,-108.74,93.2,7,1,14.99
128,Bambanglipuro,ID,2020-06-22 23:38:24,-7.95,110.28,77.83,82,65,9.6
129,Ternate,ID,2020-06-22 23:39:10,0.8,127.4,83.19,71,49,2.62
130,Tambilil,PH,2020-06-22 23:39:10,5.96,124.67,85.64,62,14,0.96
131,Calama,CL,2020-06-22 23:37:49,-22.47,-68.93,57.2,7,0,6.93
132,Birjand,IR,2020-06-22 23:37:25,32.87,59.22,73.4,13,0,9.17
133,Maceio,BR,2020-06-22 23:38:09,-9.67,-35.74,73.4,94,20,3.36
134,Egvekinot,RU,2020-06-22 23:36:45,66.32,-179.17,47.1,54,100,6.06
135,Totness,SR,2020-06-22 23:39:12,5.88,-56.32,78.44,88,82,9.4
136,Bamnet Narong,TH,2020-06-22 23:39:12,15.5,101.69,80.94,77,96,1.36
137,Ballina,AU,2020-06-22 23:36:22,-28.87,153.57,57.2,58,0,11.41
138,Kindberg,AT,2020-06-22 23:39:13,47.5,15.45,66.0,61,1,5.44
139,Dordrecht,NL,2020-06-22 23:35:07,51.81,4.67,61.0,82,16,1.43
140,Norman Wells,CA,2020-06-22 23:36:42,65.28,-126.83,57.2,87,75,8.05
141,Kieta,PG,2020-06-22 23:37:57,-6.22,155.63,86.14,64,67,4.07
142,Nauta,PE,2020-06-22 23:39:14,-4.51,-73.58,74.66,95,64,2.62
